danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.675,0.792,1,-6.303,1,0.0368,0.145,0,0.12,0.395,120.016,audio_features,0HnaqUxvHP5LaWdmWwJpiS,spotify:track:0HnaqUxvHP5LaWdmWwJpiS,https://api.spotify.com/v1/tracks/0HnaqUxvHP5LaWdmWwJpiS,https://api.spotify.com/v1/audio-analysis/0HnaqUxvHP5LaWdmWwJpiS,229813,4
0.803,0.852,7,-2.429,1,0.0357,0.00484,0.000331,0.0576,0.878,113.998,audio_features,1lHXlGlve5Zx8tXLhyjDwM,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,https://api.spotify.com/v1/tracks/1lHXlGlve5Zx8tXLhyjDwM,https://api.spotify.com/v1/audio-analysis/1lHXlGlve5Zx8tXLhyjDwM,211080,4
0.783,0.611,7,-6.124,1,0.0695,0.343,0,0.0983,0.418,100.049,audio_features,1nueTG77MzNkJTKQ0ZdGzT,spotify:track:1nueTG77MzNkJTKQ0ZdGzT,https://api.spotify.com/v1/tracks/1nueTG77MzNkJTKQ0ZdGzT,https://api.spotify.com/v1/audio-analysis/1nueTG77MzNkJTKQ0ZdGzT,214265,4
0.718,0.745,11,-4.467,0,0.0462,0.0121,0,0.312,0.6,128.005,audio_features,64QftS2rGzpynevjuCsJXW,spotify:track:64QftS2rGzpynevjuCsJXW,https://api.spotify.com/v1/tracks/64QftS2rGzpynevjuCsJXW,https://api.spotify.com/v1/audio-analysis/64QftS2rGzpynevjuCsJXW,201240,4
0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,audio_features,5zFglKYiknIxks8geR8rcL,spotify:track:5zFglKYiknIxks8geR8rcL,https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL,227395,4
0.8,0.598,5,-5.131,0,0.0617,0.0798,5.47e-06,0.1,0.422,109.998,audio_features,6YVpU5vVxezJCYeQUxIkRT,spotify:track:6YVpU5vVxezJCYeQUxIkRT,https://api.spotify.com/v1/tracks/6YVpU5vVxezJCYeQUxIkRT,https://api.spotify.com/v1/audio-analysis/6YVpU5vVxezJCYeQUxIkRT,199849,4
0.604,0.462,0,-7.053,1,0.0614,0.558,1.05e-06,0.131,0.378,60.26,audio_features,6OEHjJJvdkk1Ln0p0AZdyz,spotify:track:6OEHjJJvdkk1Ln0p0AZdyz,https://api.spotify.com/v1/tracks/6OEHjJJvdkk1Ln0p0AZdyz,https://api.spotify.com/v1/audio-analysis/6OEHjJJvdkk1Ln0p0AZdyz,215230,4
0.613,0.765,11,-6.582,1,0.0441,0.082,1.25e-06,0.092,0.299,103.951,audio_features,2PLo8T3kGE9URFvBy3tUdt,spotify:track:2PLo8T3kGE9URFvBy3tUdt,https://api.spotify.com/v1/tracks/2PLo8T3kGE9URFvBy3tUdt,https://api.spotify.com/v1/audio-analysis/2PLo8T3kGE9URFvBy3tUdt,239920,4
0.485,0.567,1,-6.456,1,0.0388,0.316,0,0.0949,0.157,93.676,audio_features,2ST72jD2KVe7f3fbcGyX1b,spotify:track:2ST72jD2KVe7f3fbcGyX1b,https://api.spotify.com/v1/tracks/2ST72jD2KVe7f3fbcGyX1b,https://api.spotify.com/v1/audio-analysis/2ST72jD2KVe7f3fbcGyX1b,211254,4
0.631,0.949,4,-2.671,0,0.0593,0.0302,0,0.0871,0.968,164.11,audio_features,1zqllQUMCgMaInr0CzFVll,spotify:track:1zqllQUMCgMaInr0CzFVll,https://api.spotify.com/v1/tracks/1zqllQUMCgMaInr0CzFVll,https://api.spotify.com/v1/audio-analysis/1zqllQUMCgMaInr0CzFVll,201307,4
