danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.625,0.684,6,-6.146,1,0.0496,0.132,0.000334,0.137,0.133,104.023,audio_features,1dvqHhLNccePPBHq11TW7v,spotify:track:1dvqHhLNccePPBHq11TW7v,https://api.spotify.com/v1/tracks/1dvqHhLNccePPBHq11TW7v,https://api.spotify.com/v1/audio-analysis/1dvqHhLNccePPBHq11TW7v,178275,4
0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,audio_features,54XqJ3fP3GxmUejMsKwCaK,spotify:track:54XqJ3fP3GxmUejMsKwCaK,https://api.spotify.com/v1/tracks/54XqJ3fP3GxmUejMsKwCaK,https://api.spotify.com/v1/audio-analysis/54XqJ3fP3GxmUejMsKwCaK,244685,4
0.833,0.822,7,-7.862,0,0.0702,0.45,0.635,0.479,0.784,120.788,audio_features,0IRDLaO3ng5eyl4Po8hZXj,spotify:track:0IRDLaO3ng5eyl4Po8hZXj,https://api.spotify.com/v1/tracks/0IRDLaO3ng5eyl4Po8hZXj,https://api.spotify.com/v1/audio-analysis/0IRDLaO3ng5eyl4Po8hZXj,205166,4
0.707,0.682,0,-7.614,1,0.0346,0.568,1.02e-06,0.308,0.887,90.003,audio_features,4VWahNC3hzIZpJsb1aNBB8,spotify:track:4VWahNC3hzIZpJsb1aNBB8,https://api.spotify.com/v1/tracks/4VWahNC3hzIZpJsb1aNBB8,https://api.spotify.com/v1/audio-analysis/4VWahNC3hzIZpJsb1aNBB8,134120,4
0.767,0.512,6,-6.777,1,0.0591,0.893,0.000223,0.103,0.489,123.921,audio_features,1Ob94QesoxHSBrypyBbdfd,spotify:track:1Ob94QesoxHSBrypyBbdfd,https://api.spotify.com/v1/tracks/1Ob94QesoxHSBrypyBbdfd,https://api.spotify.com/v1/audio-analysis/1Ob94QesoxHSBrypyBbdfd,207107,4
0.613,0.573,9,-7.277,0,0.0345,0.00572,2.58e-06,0.432,0.124,119.041,audio_features,4VMRsbfZzd3SfQtaJ1Wpwi,spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/tracks/4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/audio-analysis/4VMRsbfZzd3SfQtaJ1Wpwi,268235,4
0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,audio_features,6b37xrsNCWYIUphFBazqD6,spotify:track:6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/tracks/6b37xrsNCWYIUphFBazqD6,https://api.spotify.com/v1/audio-analysis/6b37xrsNCWYIUphFBazqD6,239987,4
0.606,0.544,10,-7.968,0,0.0421,0.0285,4.88e-06,0.152,0.335,90.104,audio_features,1wGpEisE7VmhhSazD8hZ5l,spotify:track:1wGpEisE7VmhhSazD8hZ5l,https://api.spotify.com/v1/tracks/1wGpEisE7VmhhSazD8hZ5l,https://api.spotify.com/v1/audio-analysis/1wGpEisE7VmhhSazD8hZ5l,194009,4
0.808,0.451,8,-11.985,0,0.0998,0.197,0.0109,0.0945,0.782,102.046,audio_features,4W0DYOBI8sQJtnT2dd4Awl,spotify:track:4W0DYOBI8sQJtnT2dd4Awl,https://api.spotify.com/v1/tracks/4W0DYOBI8sQJtnT2dd4Awl,https://api.spotify.com/v1/audio-analysis/4W0DYOBI8sQJtnT2dd4Awl,140000,4
0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,audio_features,49X0LAl6faAusYq02PRAY6,spotify:track:49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/tracks/49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154,4
0.461,0.503,7,-8.333,1,0.0472,0.47,0,0.212,0.293,79.183,audio_features,7qZuRt0v6zox5gMAMCls5M,spotify:track:7qZuRt0v6zox5gMAMCls5M,https://api.spotify.com/v1/tracks/7qZuRt0v6zox5gMAMCls5M,https://api.spotify.com/v1/audio-analysis/7qZuRt0v6zox5gMAMCls5M,211280,4
0.686,0.733,2,-5.268,1,0.0576,0.00567,0,0.246,0.141,130.095,audio_features,7sTyAjxDXq9afwfSQy6D0s,spotify:track:7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/tracks/7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/audio-analysis/7sTyAjxDXq9afwfSQy6D0s,147747,4
0.772,0.504,6,-8.219,0,0.0761,0.129,0,0.125,0.244,140.035,audio_features,4mU5iXHeLgbR94siF7p1sY,spotify:track:4mU5iXHeLgbR94siF7p1sY,https://api.spotify.com/v1/tracks/4mU5iXHeLgbR94siF7p1sY,https://api.spotify.com/v1/audio-analysis/4mU5iXHeLgbR94siF7p1sY,237573,4
0.537,0.746,10,-5.507,0,0.15,0.0236,1e-06,0.156,0.252,170.083,audio_features,6bnF93Rx87YqUBLSgjiMU8,spotify:track:6bnF93Rx87YqUBLSgjiMU8,https://api.spotify.com/v1/tracks/6bnF93Rx87YqUBLSgjiMU8,https://api.spotify.com/v1/audio-analysis/6bnF93Rx87YqUBLSgjiMU8,198267,4
0.755,0.514,11,-6.942,0,0.173,0.083,0,0.128,0.553,133.1,audio_features,7sg9kDT8H2P0wPACXnWRdN,spotify:track:7sg9kDT8H2P0wPACXnWRdN,https://api.spotify.com/v1/tracks/7sg9kDT8H2P0wPACXnWRdN,https://api.spotify.com/v1/audio-analysis/7sg9kDT8H2P0wPACXnWRdN,168920,4
0.758,0.436,0,-7.269,1,0.0418,0.618,1.61e-05,0.335,0.605,104.959,audio_features,5JiH89mHrv9oWHlD0T326z,spotify:track:5JiH89mHrv9oWHlD0T326z,https://api.spotify.com/v1/tracks/5JiH89mHrv9oWHlD0T326z,https://api.spotify.com/v1/audio-analysis/5JiH89mHrv9oWHlD0T326z,192080,4
0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,audio_features,2K7xn816oNHJZ0aVqdQsha,spotify:track:2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/tracks/2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/audio-analysis/2K7xn816oNHJZ0aVqdQsha,206280,4
0.659,0.594,4,-8.494,0,0.0261,0.162,0.846,0.632,0.851,100.033,audio_features,2qpacEyFxmbxCpIEqZkqvC,spotify:track:2qpacEyFxmbxCpIEqZkqvC,https://api.spotify.com/v1/tracks/2qpacEyFxmbxCpIEqZkqvC,https://api.spotify.com/v1/audio-analysis/2qpacEyFxmbxCpIEqZkqvC,172507,4
0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,audio_features,4o0LyB69tylqDG6eTGhmig,spotify:track:4o0LyB69tylqDG6eTGhmig,https://api.spotify.com/v1/tracks/4o0LyB69tylqDG6eTGhmig,https://api.spotify.com/v1/audio-analysis/4o0LyB69tylqDG6eTGhmig,231826,4
0.815,0.819,8,-9.494,0,0.0521,0.364,0.0555,0.115,0.864,119.986,audio_features,0hhXziDUO0wNYPsstDQWN6,spotify:track:0hhXziDUO0wNYPsstDQWN6,https://api.spotify.com/v1/tracks/0hhXziDUO0wNYPsstDQWN6,https://api.spotify.com/v1/audio-analysis/0hhXziDUO0wNYPsstDQWN6,219604,4
0.456,0.437,8,-11.156,1,0.0867,0.839,0,0.218,0.209,108.678,audio_features,47isJpIIO8m7BJEhiFhnaf,spotify:track:47isJpIIO8m7BJEhiFhnaf,https://api.spotify.com/v1/tracks/47isJpIIO8m7BJEhiFhnaf,https://api.spotify.com/v1/audio-analysis/47isJpIIO8m7BJEhiFhnaf,171743,4
0.77,0.539,4,-7.705,0,0.297,0.674,1.09e-06,0.158,0.39,84.977,audio_features,5aJOyuvqhcCRpaUCubwXk9,spotify:track:5aJOyuvqhcCRpaUCubwXk9,https://api.spotify.com/v1/tracks/5aJOyuvqhcCRpaUCubwXk9,https://api.spotify.com/v1/audio-analysis/5aJOyuvqhcCRpaUCubwXk9,192000,4
0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,audio_features,5JWPUEov2wlX7c0jhYZpeB,spotify:track:5JWPUEov2wlX7c0jhYZpeB,https://api.spotify.com/v1/tracks/5JWPUEov2wlX7c0jhYZpeB,https://api.spotify.com/v1/audio-analysis/5JWPUEov2wlX7c0jhYZpeB,249587,3
0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,audio_features,2cYqizR4lgvp4Qu6IQ3qGN,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN,https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN,190557,4
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3
0.711,0.473,1,-11.971,1,0.116,0.656,0.0666,0.119,0.32,90.001,audio_features,16iNVfWKKZPDjctIcd0KMn,spotify:track:16iNVfWKKZPDjctIcd0KMn,https://api.spotify.com/v1/tracks/16iNVfWKKZPDjctIcd0KMn,https://api.spotify.com/v1/audio-analysis/16iNVfWKKZPDjctIcd0KMn,127000,4
0.795,0.584,8,-5.758,0,0.0396,0.172,2.99e-05,0.103,0.785,127.05,audio_features,0ZpHuEhi1CvOJgrqOSy8mv,spotify:track:0ZpHuEhi1CvOJgrqOSy8mv,https://api.spotify.com/v1/tracks/0ZpHuEhi1CvOJgrqOSy8mv,https://api.spotify.com/v1/audio-analysis/0ZpHuEhi1CvOJgrqOSy8mv,146274,4
0.877,0.462,0,-14.419,0,0.0542,0.21,0.000208,0.145,0.888,119.989,audio_features,7oe04qLMdQxHXhcGIfShXf,spotify:track:7oe04qLMdQxHXhcGIfShXf,https://api.spotify.com/v1/tracks/7oe04qLMdQxHXhcGIfShXf,https://api.spotify.com/v1/audio-analysis/7oe04qLMdQxHXhcGIfShXf,160000,4
0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4
0.796,0.463,4,-7.344,0,0.0459,0.456,0,0.354,0.693,84.974,audio_features,0VpSpAYEc2DlNSmnxGyg6F,spotify:track:0VpSpAYEc2DlNSmnxGyg6F,https://api.spotify.com/v1/tracks/0VpSpAYEc2DlNSmnxGyg6F,https://api.spotify.com/v1/audio-analysis/0VpSpAYEc2DlNSmnxGyg6F,137647,4
0.505,0.68,7,-4.993,1,0.0714,0.0796,0,0.0465,0.539,168.022,audio_features,25KybV9BOUlvcnv7nN3Pyo,spotify:track:25KybV9BOUlvcnv7nN3Pyo,https://api.spotify.com/v1/tracks/25KybV9BOUlvcnv7nN3Pyo,https://api.spotify.com/v1/audio-analysis/25KybV9BOUlvcnv7nN3Pyo,235653,3
0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,audio_features,50a8bKqlwDEqeiEknrzkTO,spotify:track:50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/tracks/50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/audio-analysis/50a8bKqlwDEqeiEknrzkTO,195047,4
