danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.745,0.672,9,-5.738,1,0.0346,0.127,0,0.103,0.641,108.031,audio_features,1HA2V2EfAgJUBVOju4YfiB,spotify:track:1HA2V2EfAgJUBVOju4YfiB,https://api.spotify.com/v1/tracks/1HA2V2EfAgJUBVOju4YfiB,https://api.spotify.com/v1/audio-analysis/1HA2V2EfAgJUBVOju4YfiB,177697,4
0.947,0.616,9,-3.602,1,0.0415,0.0168,0.259,0.0658,0.968,127.082,audio_features,6M0EP76qW9TG4SNU0agu94,spotify:track:6M0EP76qW9TG4SNU0agu94,https://api.spotify.com/v1/tracks/6M0EP76qW9TG4SNU0agu94,https://api.spotify.com/v1/audio-analysis/6M0EP76qW9TG4SNU0agu94,90709,4
0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,audio_features,2g6tReTlM2Akp41g0HaeXN,spotify:track:2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/audio-analysis/2g6tReTlM2Akp41g0HaeXN,239027,4
0.74,0.563,11,-7.016,0,0.04,0.34,0,0.0824,0.577,104.958,audio_features,5o5WaO9pzPhXSGIrTIYVce,spotify:track:5o5WaO9pzPhXSGIrTIYVce,https://api.spotify.com/v1/tracks/5o5WaO9pzPhXSGIrTIYVce,https://api.spotify.com/v1/audio-analysis/5o5WaO9pzPhXSGIrTIYVce,173286,4
0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,audio_features,4F7A0DXBrmUAkp32uenhZt,spotify:track:4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,249213,4
0.726,0.804,6,-4.775,0,0.078,0.0348,5.59e-06,0.361,0.644,90.983,audio_features,72vuBPMhwFNlSYpTSf6fVD,spotify:track:72vuBPMhwFNlSYpTSf6fVD,https://api.spotify.com/v1/tracks/72vuBPMhwFNlSYpTSf6fVD,https://api.spotify.com/v1/audio-analysis/72vuBPMhwFNlSYpTSf6fVD,153016,4
0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
0.485,0.409,9,-10.711,0,0.101,0.325,0,0.103,0.376,138.419,audio_features,3hxIUxnT27p5WcmjGUXNwx,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4
0.742,0.879,0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,audio_features,0EH7sgeiFqDa3eS7ieW2zs,spotify:track:0EH7sgeiFqDa3eS7ieW2zs,https://api.spotify.com/v1/tracks/0EH7sgeiFqDa3eS7ieW2zs,https://api.spotify.com/v1/audio-analysis/0EH7sgeiFqDa3eS7ieW2zs,227091,4
0.773,0.805,4,-7.669,0,0.0783,0.266,0.00774,0.11,0.85,109.983,audio_features,5Lv5L45PQmp5CTjs5PlQ6e,spotify:track:5Lv5L45PQmp5CTjs5PlQ6e,https://api.spotify.com/v1/tracks/5Lv5L45PQmp5CTjs5PlQ6e,https://api.spotify.com/v1/audio-analysis/5Lv5L45PQmp5CTjs5PlQ6e,162280,4
0.696,0.809,8,-6.622,0,0.0473,0.61,0.00924,0.177,0.738,80.039,audio_features,3zyzC28g7uU4YfWN840ciZ,spotify:track:3zyzC28g7uU4YfWN840ciZ,https://api.spotify.com/v1/tracks/3zyzC28g7uU4YfWN840ciZ,https://api.spotify.com/v1/audio-analysis/3zyzC28g7uU4YfWN840ciZ,147427,4
0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4
